,company_name,job_title,level,location,salary_max,salary_min,tags
369,"BluePI Co., Ltd.",Data Scientist,"Entry-Level, Full time", - สาทร กรุงเทพมหานคร,100000,50000,"#analytics,#big-data,#data-science,#databasedesign,#web-service-development"
370,"Defense Me Co.,Ltd.","Senior Developer (NodeJS, Angular, etc)","Middle-Level, Full time", - จตุจักร กรุงเทพมหานคร,50000,30000,"#angular,#docker,#ionic,#javascript,#nodejs"
371,"Defense Me Co.,Ltd.",UI/UX Designer,"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,40000,20000,"#css3,#design,#figma,#illustrator,#photoshop"
372,"Ring Zero (Thailand) Co.,LTD.",Full Stack Developer (Onsite ย๊าวๆ ที่อโศก),"Entry-Level, Contract", - ดินแดง กรุงเทพมหานคร,65000,40000,
373,"Nippon Sysits Co.,Ltd.",Programmer รับ 5 คน (Urgent),"Entry-Level, Full time", - สาทร กรุงเทพมหานคร,20000,15000,
374,SCB10X,Data Scientist,"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,149999,49999,"#machine-learning,#pyspark,#python,#sql,#tensorflow"
375,"Digithun Worldwide Co., Ltd.",Product Specialist or Project Manager,"Entry-Level, Full time", - วัฒนา กรุงเทพมหานคร,45000,25000,
376,"Thai Vietjet Air Joint Stock Co.,Ltd.",นักศึกษาฝึกงาน (IT Support),"Entry-Level, Internship", - บางพลี สมุทรปราการ,1100,1000,
377,"Thai Vietjet Air Joint Stock Co.,Ltd.",Network Engineer (Junior),"Entry-Level, Full time", - บางพลี สมุทรปราการ,20000,18000,"#cisco,#cloud-engineer,#network"
378,"Thai Vietjet Air Joint Stock Co.,Ltd.",IT Support (Junior),"Entry-Level, Full time", - บางพลี สมุทรปราการ,20000,18000,"#network,#support,#windows"
379,Carro (Thailand) Company Limited,Engineering Manager (Web Application),"Senior-Level, Full time", - จตุจักร กรุงเทพมหานคร,120000,60000,"#aws,#cloud,#javascript,#php"
380,"Digithun Worldwide Co., Ltd.",Full-Stack Developer,"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,60000,30000,
381,"Digithun Worldwide Co., Ltd.",Mobile App Developer (iOS and Android),"Middle-Level, Full time", - วัฒนา กรุงเทพมหานคร,60000,30000,
382,KKF International Group,ผู้ช่วย Programmer,"Entry-Level, Full time", - เมืองขอนแก่น ขอนแก่น,30000,18000,
383,KKF International Group,Programmer,"Middle-Level, Full time", - เมืองขอนแก่น ขอนแก่น,41000,21000,
384,"Pannomena Co.,Ltd",Graphics Design 1 ตำแหน่ง,"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,30000,15000,
385,Gummy Bear Tech Recruitment,Junior Python Developer (Max 50k),"Entry-Level, Full time", - ดินแดง กรุงเทพมหานคร,500000,30000,#python
386,Siam Commercial Bank Public Company Limited,Technology - Business Analyst (Payment Hub),"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,1000,1000,#opf
387,Siam Commercial Bank Public Company Limited,SCB Digital Banking 3 Positions Opening!,"Entry-Level, Full time", - จตุจักร กรุงเทพมหานคร,1000,1000,"#automation,#espresso,#java,#kotlin,#springboot"
388,DezpaX,Software Developer (SCG),"Middle-Level, Full time", - บางซื่อ กรุงเทพมหานคร,60000,40000,
389,"Taskworld Co.,Ltd",Web Designer,"Middle-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,70000,40000,"#digital-design,#sketch,#web-design"
390,"Taskworld Co.,Ltd",Quality Assurance Engineer,"Middle-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,80000,40000,"#automatedtest,#qa,#quality,#testing,#tooling"
391,"Taskworld Co.,Ltd",Software Engineer,"Middle-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,100000,50000,"#javascript,#nodejs,#reactjs"
392,officemate,"Senior Programmer, Programmer","Entry-Level, Full time", - บางกะปิ กรุงเทพมหานคร,45000,22000,"#c-sharp,#java,#python,#vb.net"
